Name,Latitude,Longitude,Category,Venue_Id,Rectangle
Frau Larsson,53.583266948560336,10.013025090203955,Café,4ca715bbf47ea14369cf6621,"(1, 1, 3)"
deseo tapas bar,53.58155174345972,10.013337985307652,Tapas Restaurant,4b9aa3a6f964a520bdc835e3,"(1, 1, 3)"
Vous,53.581411,10.012859,Asian Restaurant,5b166662646e38002c84a1cc,"(1, 1, 3)"
An Vegan House,53.580894321653695,10.011828535716631,Vegetarian / Vegan Restaurant,5c26167dee7120002e4359cd,"(1, 1, 3)"
MAD about Juice,53.58051811885713,10.012396307240257,Salad Place,569925b5498e08d735b4acde,"(1, 1, 3)"
Enjoy It!,53.580968,10.011776,Ice Cream Shop,4b8a81d4f964a520c26f32e3,"(1, 1, 3)"
Porzellanfräulein,53.582416,10.012505,Gift Shop,4ebf9bb693ad36d7a8fcdcb5,"(1, 1, 3)"
Berglund,53.581581097825826,10.013600726054376,Cocktail Bar,55fb238b498ee968021afcfb,"(1, 1, 3)"
Paledo,53.579931,10.012581,Breakfast Spot,57b97009498e486945e0c043,"(1, 1, 3)"
Hansebäcker Junge,53.58156028713423,10.011672377586365,Bakery,4b40ce23f964a52058bb25e3,"(1, 1, 3)"
Liman Fisch Restaurant,53.58086762070058,10.012133171276089,Seafood Restaurant,51814eb1498e62ca79d4fb8a,"(1, 1, 3)"
piu espresso bar,53.58032264704182,10.012395658951046,Italian Restaurant,53074757498efde0cbd19f82,"(1, 1, 3)"
Quan Do,53.58226485632169,10.015415275883097,Vietnamese Restaurant,54b5798c498ee931af6e24db,"(1, 1, 3)"
Arcada Port. Span. Spezialitäten,53.58136245048593,10.012803193268978,Spanish Restaurant,4bf982f5508c0f47bf5d3f31,"(1, 1, 3)"
Pizza Social Club,53.581343,10.011395,Pizza Place,5ae2edc415173e002c63c3c2,"(1, 1, 3)"
Goldbeker,53.58423068430835,10.01161852409446,Comfort Food Restaurant,4b7564ddf964a520120a2ee3,"(1, 1, 3)"
Gorgonzola,53.58201051409515,10.01493948593614,Italian Restaurant,4b94ea94f964a520a98734e3,"(1, 1, 3)"
hensel,53.58055326859824,10.012453640574396,Burger Joint,5212188e11d266f817d9feb7,"(1, 1, 3)"
stadtgeflüster,53.582384521478524,10.016108882313842,Café,4bc0503d2a89ef3ba25ef088,"(1, 1, 3)"
Zaza Bar,53.580431131234874,10.012484033292319,Cocktail Bar,4b28d88cf964a520a39524e3,"(1, 1, 3)"
Edelsatt,53.580219359800516,10.012622815959269,Burger Joint,55a01a55498e60f3cf504d6b,"(1, 1, 3)"
Tjadens Bio Frischemarkt,53.58219378046934,10.015480392936379,Food & Drink Shop,4c284b50ce3fc928d5ff6c88,"(1, 1, 3)"
Köbes,53.581769947747546,10.01391811174243,Restaurant,4b634741f964a520626f2ae3,"(1, 1, 3)"
PENNY,53.581697937593646,10.011771868902429,Supermarket,4b476f8df964a520ff3126e3,"(1, 1, 3)"
